,PUPPIES registered with the studbook and the appendix,LITTERS registered with the studbook and the appendix,CAC ALL-BREED SHOWS,CACIB ALL-BREED SHOWS,"FCI (breed, group, all-breed) JUDGES",INDIVIDUAL MEMBERS (people),"member (breed, regional, sporting, etc.) CLUBS",PURE-BRED DOGS REGISTERED WITH THE STUDBOOK,TOTAL number of PURE-BRED DOGS REGISTERED WITH THE STUDBOOK since its creation,Approximate TOTAL number of DOGS (PURE-BRED OR NOT),Approximate TOTAL number of DOG OWNERS (PURE-BRED OR NOT),year
NEW ZEALAND,,,,,,,,,,,,2018
NICARAGUA,,,,,,,,,,,,2018
NORTH MACEDONIA,"1,821",435,4,14,21,"1,800",45,"1,700","36,000","38,000","18,500",2018
NORWAY,"27,707","5,716",13,13,166,"72,010",267,"29,990",,"500,000",,2018
PAKISTAN,,,,,,,,,,,,2018
PANAMA,,,,,,,,,,,,2018
PARAGUAY,446,102,9,5,14,81,3,57,960,,"47,300",2018
PERU,,,,,,,,,,,,2018
PHILIPPINES,"83,833","21,660",114,20,35,"18,564",24,"85,564","1,255,223",,,2018
POLAND,"51,901","10,785",58,24,224,"24,600",26,"19,531",,"75,556",,2018
PORTUGAL,"13,722","3,026",28,15,49,628,41,"14,408",,,,2018
PUERTO RICO,"2,790",458,10,6,12,553,2,"3,092","106,593","1,400,000","702,700",2018
ROMANIA,"13,051","2,738",34,25,55,"9,100",54,"13,595","262,891",,,2018
RUSSIAN FEDERATION,"314,271","75,972","5,753",38,782,0,"3,275","317,641","5,460,000","15,000,000","9,000,000",2018
SAN MARINO,146,29,2,6,3,23,2,179,"5,416","5,100","3,870",2018
SERBIA,"41,107","11,242",82,30,228,"32,212",202,"42,062","1,352,267",,,2018
SINGAPORE,408,122,3,3,10,598,3,410,"81,497","62,000","42,000",2018
SLOVAKIA,"11,913","2,397",1,18,105,"8,859",3,"12,878",,,,2018
SLOVENIA,"3,260",644,4,16,130,0,118,"3,757","100,566","150,000","75,000",2018
SOUTH AFRICA,"13,838","3,350",59,4,141,"3,535",197,"13,967","799,642","9,950,000","6,000,000",2018
SPAIN,"56,391","14,721",56,29,262,"2,375",364,"56,262","2,411,104",,,2018
SRI LANKA,"3,053",530,4,1,0,127,0,"3,124","8,576","50,000","35,000",2018
SUDAN,,,,,,,,,,,,2018
SWEDEN,"50,531","9,667",37,7,273,"270,200","1,100","50,531","3,030,000","881,000","668,000",2018
SWITZERLAND,"6,977","1,360",,6,,,,"7,698",,"505,745",,2018
TAIWAN,,,,,,,,,,,,2018
THAILAND,"39,215","11,668",74,21,67,"35,126",9,"45,228","473,355","39,305","35,164",2018
THE NETHERLANDS,"34,300",,,24,312,"112,000",301,"36,000","3,075,000","1,500,000","1,300,000",2018
TURKEY,"5,200",980,10,6,9,,26,"6,683","31,600","300,000","180,000",2018
UKRAINE,"31,277","6,896",81,43,149,"244,939",30,"33,064","254,951",,,2018
UNITED ARAB EMIRATES,,,,,,,,,,,,2018
URUGUAY,"3,339",717,19,3,41,608,7,"3,434","102,151","1,500,000","600,000",2018
UZBEKISTAN,516,172,7,4,5,"1,130",12,605,"3,010",,,2018
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2018
VIETNAM,,,,,,,,,,,,2018
ALBANIA,,,,,,,,,,,,2017
ALGERIA,446,88,7,3,0,590,5,446,"1,988","3,000",492,2017
ARGENTINA,"57,582","12,294",407,24,144,0,62,"58,063","1,618,043",,"198,725",2017
ARMENIA,601,89,4,4,0,308,3,370,"1,277",,,2017
AUSTRALIA,"69,918","14,319","1,142",0,"1,787","32,872",403,"70,524",,,"97,145",2017
AUSTRIA,"7,684","1,351",12,12,280,"57,989",206,"8,736","555,263","656,000","510,000",2017
AZERBAIJAN,,,,,,,,,,,,2017
BAHRAIN,182,49,0,1,0,29,0,188,"2,973","4,500","2,500",2017
BELARUS,"2,015",403,315,8,33,"44,200",32,,"34,020",,,2017
BELGIUM,"22,494","3,461",3,11,329,"53,465",505,"23,515",,,,2017
BOLIVIA,"4,308","1,021",39,3,13,820,12,"5,908","30,160","7,000",820,2017
BOSNIA AND HERZEGOVINA,"6,860","1,426",19,9,97,"1,394",72,"7,865","39,608",,,2017
BRAZIL,"148,946","42,235",649,55,242,0,79,"148,946","2,705,390","45,689,891","86,308",2017
BULGARIA,"3,952",984,8,51,59,0,58,"4,414","42,368",,,2017
CHILE,,,,,,,,,,,,2017
CHINA,"70,528","42,087",583,117,37,"33,921",162,"77,211","534,489","76,557","18,664",2017
COLOMBIA,"2,010",609,45,5,22,134,13,"2,196","70,070",,,2017
COSTA RICA,,,,,,,,,,,,2017
CROATIA,"10,217","2,018",17,20,127,"4,785",136,"10,705","284,188","350,000",,2017
CUBA,,,,,,,,,,,,2017
CYPRUS,"1,551",349,7,6,33,"1,204",15,"1,202","48,648",0,"16,635",2017
CZECH REPUBLIC,"40,728","8,231",15,10,324,"50,300",169,"42,060","1,598,975","2,000,000","1,500,000",2017
DENMARK,"19,156","5,320",14,10,175,"26,336",72,"20,555","1,750,000","570,000","470,000",2017
DOMINICAN REPUBLIC,,,,,,,,,,,,2017
ECUADOR,,,,,,,,,,,,2017
EGYPT,"1,548",327,4,5,0,306,9,"1,756","5,790",,,2017
EL SALVADOR,,,,,,,,,,,,2017
ESTONIA,"4,298",931,28,11,37,"2,167",114,"4,938","66,262",,,2017
FINLAND,"46,546","9,287",19,27,182,"148,071","2,062","49,051","600,000","800,000","500,000",2017
FRANCE,"231,621","46,848",97,36,560,"250,000","1,522","235,312","2,865,653","7,340,000","6,000,000",2017
GEORGIA,"1,643",286,7,6,4,16,12,"1,814","43,385","48,722","21,059",2017
GERMANY,"75,877","14,149",6,19,896,"378,673",181,,,"9,400,000","10,000,000",2017
GIBRALTAR,,,,,,,,,,,,2017
GREECE,"8,108","1,042",29,16,31,590,71,"8,443","160,599",,,2017
GUATEMALA,,,,,,,,,,,,2017
HONDURAS,,,,,,,,,,,,2017
HONG KONG,,,,,,,,,,,,2017
HUNGARY,"15,163","4,328",23,21,139,"6,547",155,"16,156","1,178,906","3,000,000","2,500,000",2017
ICELAND,"1,183",270,1,4,10,"3,242",31,"1,275","24,104","30,000","30,000",2017
INDIA,"40,088","6,403",140,2,7,376,89,"40,434","816,287","157,500,000","68,350,000",2017
INDONESIA,,,,,44,,13,,,,,2017
IRAN (ISLAMIC REPUBLIC OF),310,200,0,0,0,145,20,50,"12,000","24,000","24,000",2017
IRELAND,"18,200","2,945",31,5,,"25,717",202,"18,200",,,,2017
ISRAEL,,,,,,,,,,,,2017
ITALY,"163,853","36,746",52,76,353,"1,547",74,"167,123","7,206,621","15,000,000","7,000,000",2017
JAPAN,"295,660","104,295",152,15,141,"76,809",886,"295,910","15,401,120","8,920,000",,2017
JORDAN,,,,,,,,,,,,2017
KAZAKHSTAN,,,,,,,,,,,,2017
KIRGHIZISTAN,750,130,8,4,2,"1,025",5,830,"10,295",,,2017
KOREA (REPUBLIC OF),"19,896",,25,23,133,,104,"21,355",,,,2017
KOSOVO,451,104,0,2,0,463,21,564,"3,115","10,000","8,000",2017
KUWAIT,,,,,,,,,,,,2017
LATVIA,"2,104",538,16,4,13,"2,331",36,"2,471","54,793","150,000","60,000",2017
LEBANON,,,,,,,,,,,,2017
LITHUANIA,"6,508","1,447",38,11,35,"4,000",48,"7,107","117,370","300,000","150,000",2017
LUXEMBOURG,185,37,0,2,13,"2,350",12,247,"51,350","55,500","48,600",2017
MALAYSIA,"7,599","2,092",29,10,10,"2,170",3,"7,860","266,165","394,800",,2017
MALTA,"1,614",453,10,4,2,885,1,"1,356","46,467","58,310","42,000",2017
MEXICO,"42,746","11,356",162,14,35,"83,481",49,"42,746",,,"96,529",2017
MOLDAVIA (REPUBLIC OF),"1,530",373,12,18,16,0,15,322,"2,279",,,2017
MONACO,6,1,1,1,0,8,1,1,"3,401","3,000","6,000",2017
MONGOLIA,,,2,,,223,6,,,"88,563","43,012",2017
MONTENEGRO,"3,288",635,1,17,41,658,35,"3,345","16,085","7,000","6,100",2017
MOROCCO,,,,,,,,,,,,2017
MYANMAR,,,,,,,,,,,,2017
NEW ZEALAND,,,,,,,,,,,,2017
NICARAGUA,275,47,8,4,1,42,7,292,"5,335",,,2017
NORTH MACEDONIA,"2,117",507,5,22,22,"2,900",34,"2,322","42,167","52,000","33,000",2017
NORWAY,"26,714","5,519",11,11,160,"70,689",264,"28,854","1,000,000","500,000","1,500,000",2017
PAKISTAN,,,,,,,,,,,,2017
PANAMA,,,,,,,,,,,,2017
PARAGUAY,560,106,9,5,14,81,2,68,750,,"47,300",2017
PERU,"5,817","1,368",43,16,9,320,8,"6,065",,,,2017
PHILIPPINES,"75,281","19,851",139,27,40,"17,750",24,"76,426","1,169,659",,,2017
POLAND,,,,,,,,,,,,2017
PORTUGAL,"13,639","2,999",27,14,51,659,40,"14,378",,,,2017
PUERTO RICO,"2,837",461,10,6,16,573,2,"3,112","103,501","1,400,000","702,700",2017
ROMANIA,"12,683","2,660",34,26,63,"8,100",54,"13,182","249,496","502,000","304,000",2017
RUSSIAN FEDERATION,"259,673","70,811","1,142",40,744,,593,"263,522","4,689,692","15,000,000","2,000,000",2017
SAN MARINO,134,27,2,6,3,30,2,159,"5,237","4,500","4,000",2017
SERBIA,"41,196","11,266",83,30,225,"32,030",222,"42,178","1,310,205",,,2017
SINGAPORE,472,130,6,2,14,530,2,531,"86,430","62,000","42,000",2017
SLOVAKIA,"11,513","2,314",1,17,97,"8,711",3,"12,570",,,,2017
SLOVENIA,"3,305",677,4,15,120,0,122,"3,819","96,809","150,000","75,000",2017
SOUTH AFRICA,"13,434","3,325",63,5,141,"3,391",204,"13,577","785,675","9,000,000",,2017
SPAIN,"59,993","15,773",57,30,246,"2,431",320,"59,836","2,353,263",,,2017
SRI LANKA,,,,,,,,,,,,2017
SUDAN,,,,,,,,,,,,2017
SWEDEN,"51,059","9,865",14,25,272,"270,000","1,100","51,059","2,980,000","881,000","668,000",2017
SWITZERLAND,,"1,350",,,,,,,,,,2017
TAIWAN,,,,,,,,,,,,2017
THAILAND,"39,810","12,185",72,15,66,"33,773",9,"47,697","430,468","39,902","33,841",2017
THE NETHERLANDS,"36,000",,1,18,307,"114,000",306,"38,000","3,040,000","1,500,000","1,300,000",2017
TURKEY,"4,201",770,10,8,21,0,30,"5,422","24,886","270,000","120,000",2017
UKRAINE,"13,698","5,317",86,26,120,"186,242",28,"17,192","238,419",0,0,2017
UNITED ARAB EMIRATES,,,,,,,,,,,,2017
URUGUAY,"3,589",743,19,3,41,662,7,"3,683","98,717","1,500,000","650,000",2017
UZBEKISTAN,417,87,5,4,4,"1,117",11,452,"2,405",,,2017
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2017
VIETNAM,,,,,,,,,,,,2017
ALBANIA,,,,,,,,,,,,2016
ALGERIA,,,,,,,,,,,,2016
ARGENTINA,"62,109","13,326",401,28,135,0,60,"62,561","1,559,980",,"192,446",2016
ARMENIA,589,57,4,4,0,361,3,262,907,,,2016
AUSTRALIA,,,,0,,,377,,,,,2016
AUSTRIA,"8,050","1,430",12,12,275,"58,052",105,"9,090","546,527","655,000","509,000",2016
AZERBAIJAN,,,,,,,,,,,,2016
BAHRAIN,155,33,0,1,1,21,0,151,581,619,133,2016
BELARUS,,,,,,,,,,,,2016
BELGIUM,"17,859","3,321",3,11,329,"53,727",504,"17,968","1,181,713","164,424",,2016
BOLIVIA,"3,715",871,42,5,13,757,12,"5,393","25,851","6,000",757,2016
BOSNIA AND HERZEGOVINA,"6,940","1,677",19,9,97,940,64,"7,119","38,510","48,929","55,000",2016
BRAZIL,"159,787","45,660",649,55,338,0,85,"159,787","2,556,747","45,271,787","87,363",2016
BULGARIA,"3,911",906,4,53,54,0,58,"4,225","37,956",,,2016
CHILE,,,,,,,,,,,,2016
CHINA,"85,942","30,086",364,107,48,"27,054",161,"88,210","439,420","88,210","16,986",2016
COLOMBIA,"1,995",694,45,7,15,132,12,"2,285","68,130","68,130","37,600",2016
COSTA RICA,"2,371","1,225",2,2,13,990,8,"2,371","3,000","2,371","1,850",2016
CROATIA,"10,114","1,998",13,20,126,"3,678",135,"10,619","273,483",,,2016
CUBA,,,,,,,,,,,,2016
CYPRUS,"1,096",265,7,6,31,"1,087",15,"1,151","47,568",,"16,103",2016
CZECH REPUBLIC,"39,853","8,224",15,10,330,"49,776",160,"41,132","1,556,915","2,000,000","1,500,000",2016
DENMARK,"20,958","4,657",4,11,183,"30,200",72,"22,311","520,000","575,000","470,000",2016
DOMINICAN REPUBLIC,822,253,1,0,2,450,5,876,"12,000","1,900,000","400,000",2016
ECUADOR,,,,,,,,,,,,2016
EGYPT,"1,200",250,4,5,0,270,5,"1,300","4,200",,"2,000",2016
EL SALVADOR,,,,,,,,,,,,2016
ESTONIA,"3,945",935,31,9,37,"1,858",114,"4,522","61,324",,,2016
FINLAND,"46,237","10,640",18,27,187,"146,111","2,058","48,639","530,000","600,000","500,000",2016
FRANCE,"227,993","45,952",98,30,497,"250,000","1,453","230,341","2,630,000","7,000,000","5,000,000",2016
GEORGIA,"1,914",337,9,7,4,16,12,"2,071","41,571","47,903","21,251",2016
GERMANY,"77,509","14,772",6,20,880,"379,539",177,,,"6,900,000","10,000,000",2016
GIBRALTAR,106,23,0,2,5,900,8,127,"4,789","2,600","2,000",2016
GREECE,"7,286","1,489",30,15,27,483,62,"7,557","152,156",,,2016
GUATEMALA,"3,256",919,20,6,5,"6,015",6,"3,306","62,561",,,2016
HONDURAS,,,,,,,,,,,,2016
HONG KONG,450,110,12,2,,800,2,664,"200,000","700,000","300,000",2016
HUNGARY,"12,986","2,909",14,24,126,"5,850",170,"15,704","1,162,750","3,000,000","2,500,000",2016
ICELAND,"1,131",293,1,4,10,"3,132",31,"1,236","22,829","20,000","17,000",2016
INDIA,"38,883","6,379",146,3,16,369,82,"39,194","775,853","155,000,000","68,000,000",2016
INDONESIA,"32,969","11,264",28,10,44,"4,511",13,"33,216","398,886",,"4,511",2016
IRAN (ISLAMIC REPUBLIC OF),172,49,0,0,0,5,5,56,121,"12,000","24,000",2016
IRELAND,"17,189","3,621",26,5,,"25,443",220,"17,189",,,,2016
ISRAEL,,,,,,,,,,,,2016
ITALY,"165,368","36,897",44,78,346,"1,514",74,"168,696","7,010,860","15,000,000","7,000,000",2016
JAPAN,"300,162","105,974",133,15,125,"76,953",884,"300,470","15,105,210","9,878,000",,2016
JORDAN,,,,,,,,,,,,2016
KAZAKHSTAN,,,,,,,,,,,,2016
KIRGHIZISTAN,700,128,6,4,2,"1,015",4,765,"9,465",,,2016
KOREA (REPUBLIC OF),"18,957","4,237",18,18,129,"25,363",83,"20,657",,,,2016
KOSOVO,283,75,0,2,0,453,21,325,"2,664","10,000","8,000",2016
KUWAIT,,,,,,,,,,,,2016
LATVIA,"2,967",511,15,5,12,"2,446",36,"3,119","52,322","120,000","55,000",2016
LEBANON,,,,,,,,,,,,2016
LITHUANIA,"6,395","1,413",36,11,33,"4,000",48,"6,981","110,263","300,000","150,000",2016
LUXEMBOURG,,,,,,,,,,,,2016
MALAYSIA,"7,943","2,227",32,10,10,"2,218",3,"8,297","260,963","385,400",,2016
MALTA,,,,,,,,,,,,2016
MEXICO,,,,,,,,,,,,2016
MOLDAVIA (REPUBLIC OF),"1,552",385,10,14,15,0,15,289,"1,957",,,2016
MONACO,37,6,1,1,0,15,1,7,"3,400","3,000","10,000",2016
MONGOLIA,,,,,,,,,,,,2016
MONTENEGRO,"2,048",412,1,15,40,503,32,"2,112","12,797","6,600","5,850",2016
MOROCCO,,,,,,,,,,,,2016
MYANMAR,,,,,,,,,,,,2016
NEW ZEALAND,,,,,,,,,,,,2016
NICARAGUA,212,42,8,4,1,36,8,230,"5,043",,,2016
NORTH MACEDONIA,"1,916",431,10,17,25,"2,010",44,"1,986","40,050","50,050","28,500",2016
NORWAY,"27,080","5,710",11,11,160,"71,920",984,"30,540","1,000,000","500,000","1,500,000",2016
PAKISTAN,"10,562","2,113",28,4,4,309,6,"10,641","71,299","190,200","120,000",2016
PANAMA,,,,,,,,,,,,2016
PARAGUAY,493,96,9,5,14,81,,57,870,,"47,300",2016
PERU,"5,713","1,323",46,17,16,189,12,,,,,2016
PHILIPPINES,"69,730","18,962",155,25,36,"20,818",38,"70,426","1,093,233",,,2016
POLAND,"46,778","9,747",55,17,213,"23,000",29,,,"68,144",,2016
PORTUGAL,"14,127","3,137",27,15,52,638,42,"14,879",,,,2016
PUERTO RICO,"2,765",449,10,6,17,566,2,"2,987","102,463","1,400,135","702,610",2016
ROMANIA,"12,683","2,660",23,29,37,"7,800",54,"13,182","236,314","500,000","300,000",2016
RUSSIAN FEDERATION,"317,105","70,595","1,055",36,752,,"1,073","320,944","4,295,206","15,000,000","2,000,000",2016
SAN MARINO,194,36,8,6,3,30,2,243,"5,078","5,000","4,000",2016
SERBIA,"40,289","11,315",91,28,490,"31,085",220,"41,072","1,268,027",,,2016
SINGAPORE,432,122,6,3,15,568,2,506,"85,899","62,000","42,000",2016
SLOVAKIA,"11,054","2,279",3,14,99,"8,951",3,"12,116",,,,2016
SLOVENIA,"3,391",681,7,13,119,0,120,"3,871","92,990",0,0,2016
SOUTH AFRICA,"14,636","3,689",48,5,160,"3,271",204,"14,819","772,098","9,000,000",1,2016
SPAIN,"59,942","15,710",56,30,237,"2,479",395,"59,942","2,291,702",,,2016
SRI LANKA,,,,,,,,,,,,2016
SUDAN,,,,,,,,,,,,2016
SWEDEN,"51,049","9,857",14,25,275,"275,000","1,100","51,049","2,929,000","784,000","584,000",2016
SWITZERLAND,,,58,5,145,"58,000",445,,,,,2016
TAIWAN,"13,495","4,371",20,16,42,"13,156",22,"13,510","184,697","1,796,831","2,266",2016
THAILAND,"31,776","9,199",65,19,64,"32,227",9,"35,638","384,665","32,006","32,300",2016
THE NETHERLANDS,"36,155","6,789",3,19,290,"112,000",307,"38,023","3,000,000","1,500,000","1,300,000",2016
TURKEY,"3,773",611,12,6,5,0,28,"4,550","20,070","270,000","120,000",2016
UKRAINE,"17,535","6,806",71,35,111,"179,744",28,"20,854","238,419",0,0,2016
UNITED ARAB EMIRATES,,,,,,,,,,,,2016
URUGUAY,"3,887",778,19,3,56,622,9,"4,016","95,034","1,500,000","650,000",2016
UZBEKISTAN,322,58,2,4,4,"1,058",10,416,"1,953",,,2016
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2016
VIETNAM,"4,901","1,177",20,2,0,190,15,"5,851","13,097","500,000","200,000",2016
ALBANIA,,,,,,,,,,,,2015
ALGERIA,,,,,,,,,,,,2015
ARGENTINA,"67,086","14,373",405,29,126,0,60,"67,534","1,497,419",0,"186,787",2015
ARMENIA,503,44,2,2,0,336,2,228,655,,,2015
AUSTRALIA,"69,420","14,178","1,119",,"1,869","32,481",381,"70,130",,,,2015
AUSTRIA,"7,811","1,389",12,12,270,"57,542",103,"9,162","537,437","650,000","505,000",2015
AZERBAIJAN,,,,,,,,,,,,2015
BAHRAIN,134,26,0,1,2,21,0,133,430,449,94,2015
BELARUS,,,,,,,,,,,,2015
BELGIUM,"17,098","3,222",3,11,325,"54,549",498,"15,194","1,164,280",,,2015
BOLIVIA,"3,798",852,37,2,12,640,8,"5,343","18,337","5,500",640,2015
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,2015
BRAZIL,"148,013","42,098",691,60,242,0,91,"148,013","2,396,690","4,511,236","83,015",2015
BULGARIA,"3,590",904,6,53,63,,57,"3,878","33,730",,,2015
CHILE,,,,,,,,,,,,2015
CHINA,"48,770","18,045",293,67,24,"15,915",114,"50,531","361,354","50,531","11,301",2015
COLOMBIA,,,,,,,,,,,,2015
COSTA RICA,"2,368","1,200",2,2,13,"1,020",8,"2,368","2,368","2,980","2,500",2015
CROATIA,"10,394","2,052",14,18,120,"3,726",135,"10,852","262,864","400,000",,2015
CUBA,,,,,,,,,,,,2015
CYPRUS,"1,039",251,7,6,31,439,15,"1,174","45,685",0,"15,690",2015
CZECH REPUBLIC,"39,124","8,174",15,10,344,"50,300",160,"40,401","1,515,783","2,000,000","1,500,000",2015
DENMARK,"19,023","4,755",4,10,190,"30,100",72,"20,441","500,000","580,000","470,000",2015
DOMINICAN REPUBLIC,742,216,12,0,4,42,6,842,"83,842","1,900,842","350,842",2015
ECUADOR,,,,,,,,,,,,2015
EGYPT,621,129,5,3,0,13,3,"1,018","2,003",,,2015
EL SALVADOR,,,,,,,,,,,,2015
ESTONIA,"4,070",902,29,8,37,"1,613",114,"4,537","56,802",0,0,2015
FINLAND,"46,953","9,537",16,27,195,"147,454","2,046","49,362","530,000","600,000","500,000",2015
FRANCE,"212,303","43,986",93,34,539,"250,000","1,472","215,510","2,400,000","7,500,000","6,000,000",2015
GEORGIA,"1,568",273,7,6,7,44,10,"1,613","39,495","39,495","19,468",2015
GERMANY,"76,234","14,436",6,18,867,"381,187",176,,,"6,900,000","10,000,000",2015
GIBRALTAR,,,,,,,,,,,,2015
GREECE,"10,510","2,026",29,15,26,522,86,"10,937","144,599",,,2015
GUATEMALA,"3,326",884,16,6,5,"5,514",3,"3,371","59,304",,,2015
HONDURAS,,,,,,,,,,,,2015
HONG KONG,,,,,,,,,,,,2015
HUNGARY,"13,873","3,170",19,19,135,"4,878",151,"14,489","1,147,046",0,0,2015
ICELAND,"1,078",251,7,4,8,"1,734",30,"1,171","21,400","17,000","14,000",2015
INDIA,"40,563","7,153",125,3,16,349,76,"40,884","736,659","149,000,000","62,800,000",2015
INDONESIA,"37,176","14,370",35,9,40,"4,436",12,"37,322","365,670",,"4,436",2015
IRAN (ISLAMIC REPUBLIC OF),,,,,,,,,,,,2015
IRELAND,"18,998","2,686",29,4,309,"24,659",204,"18,998",,,,2015
ISRAEL,,,,,,,,,,,,2015
ITALY,"155,228","39,245",53,61,341,"1,489",74,"159,204","6,812,350","15,000,000","7,000,000",2015
JAPAN,"301,333","107,129",175,15,125,"78,655",893,"301,605","14,804,740","10,000,000",,2015
JORDAN,,,,,,,,,,,,2015
KAZAKHSTAN,,,,,,,,,,,,2015
KIRGHIZISTAN,800,150,4,4,2,"1,005",3,850,"8,700",0,0,2015
KOREA (REPUBLIC OF),"17,242","5,612",23,15,119,"22,265",78,"17,812",,,,2015
KOSOVO,185,42,1,3,0,365,21,35,"2,343","10,000","8,000",2015
KUWAIT,,,,,,,,,,,,2015
LATVIA,,,,,,,,,,,,2015
LEBANON,,,,,,,,,,,,2015
LITHUANIA,"6,331","1,396",33,11,32,"4,000",48,"6,847","103,282","300,000","150,000",2015
LUXEMBOURG,,,,,,,,,,,,2015
MALAYSIA,"8,921","2,477",28,8,10,"2,204",3,"9,380","250,008","361,500",,2015
MALTA,"1,200",460,8,2,2,330,1,"1,200","45,300","58,000","42,000",2015
MEXICO,,,,,,,,,,,,2015
MOLDAVIA (REPUBLIC OF),"1,301",310,10,11,15,0,14,308,"1,668",,,2015
MONACO,17,3,1,1,0,12,0,21,,,,2015
MONGOLIA,,,,,,,,,,,,2015
MONTENEGRO,"1,498",235,0,14,37,494,30,"1,569","10,685","6,200","5,750",2015
MOROCCO,,,,,,,,,,,,2015
MYANMAR,,,,,,,,,,,,2015
NEW ZEALAND,,,,,,,,,,,,2015
NICARAGUA,159,32,8,4,1,28,8,203,"4,813",0,0,2015
NORTH MACEDONIA,"1,870",430,6,16,25,"2,150",40,"1,950","38,129","42,000","20,000",2015
NORWAY,"25,876","5,454",11,11,155,"72,394",235,"28,270","1,000,000","500,000","1,500,000",2015
PAKISTAN,"8,425","1,404",22,3,4,320,3,"8,425","71,058","180,000","120,400",2015
PANAMA,,,,,,,,,,,,2015
PARAGUAY,,,,,,,,,,,,2015
PERU,"6,081","1,268",37,12,13,189,12,"6,417",,,,2015
PHILIPPINES,"71,284","19,473",117,22,36,"16,918",26,"71,880","1,022,807",,,2015
POLAND,"42,175","8,677",53,17,208,"25,100",29,,,"65,454",,2015
PORTUGAL,"14,521","3,280",26,13,54,627,44,"15,173",,,,2015
PUERTO RICO,"2,890",457,10,6,17,553,2,"2,991","99,573","1,400,100","702,500",2015
ROMANIA,"11,621","2,443",21,24,49,"6,500",52,"12,141","223,132","500,000","200,000",2015
RUSSIAN FEDERATION,"359,000","75,128","1,014",41,733,,"7,200","367,000","3,502,000",,,2015
SAN MARINO,182,39,9,4,3,27,2,230,"4,834","5,000","4,500",2015
SERBIA,"37,062","10,636",83,29,465,"29,003",220,"37,770","1,226,955",,,2015
SINGAPORE,616,176,0,2,15,618,2,665,"83,400","60,000","40,500",2015
SLOVAKIA,"10,630","2,250",3,13,90,"8,959",3,"11,578",,,,2015
SLOVENIA,"3,405",685,6,12,152,0,120,"3,866","89,078",0,0,2015
SOUTH AFRICA,"15,601","4,097",47,4,93,"3,778",209,"15,901","757,279","9,000,000",1,2015
SPAIN,"58,339","15,886",56,30,235,"2,506",309,"59,339","2,230,178",,,2015
SRI LANKA,,,,,,,,,,,,2015
SUDAN,,,,,,,,,,,,2015
SWEDEN,"50,234","9,740",17,21,270,"280,000","1,000","50,234","2,800,000","730,000","550,000",2015
SWITZERLAND,,,1,5,140,"58,396",451,,,"530,000","450,000",2015
TAIWAN,"12,995","4,155",13,13,27,"12,439",13,"12,345","173,780","20,000","1,545",2015
THAILAND,"38,454","11,949",70,19,64,"30,770",10,"46,067","352,685","38,560","30,840",2015
THE NETHERLANDS,"33,878","6,617",0,18,284,"110,000",306,"35,880","3,000,000","1,500,000","1,300,000",2015
TURKEY,"2,211",429,11,6,5,0,25,"3,794","14,989","270,000","110,000",2015
UKRAINE,"19,527","7,579",71,39,97,"172,031",128,"20,659","200,373",0,0,2015
UNITED ARAB EMIRATES,,,,,,,,,,,,2015
URUGUAY,"3,651",626,19,3,51,669,10,"3,650","91,018","1,500,000","650,000",2015
UZBEKISTAN,503,112,2,4,4,"1,044",4,142,"1,537",,,2015
VENEZUELA (BOLIVARIAN REPUBLIC OF),,,,,,,,,,,,2015
VIETNAM,,,,,,,,,,,,2015
ALBANIA,,,,,,,,,,,,2014
ALGERIA,,,,,,,,,,,,2014
ARGENTINA,"67,803","14,633",411,24,113,0,59,"68,353","1,436,108",0,"179,399",2014
ARMENIA,457,32,2,2,0,314,0,208,427,,,2014
AUSTRALIA,"68,507","14,088","1,118",0,"1,613","32,177",383,"70,041",,,,2014
AUSTRIA,"8,075","1,433",11,11,265,"56,703",101,"9,053","528,275","645,000","502,000",2014
AZERBAIJAN,,,,,,,,,,,,2014
BAHRAIN,90,18,0,0,0,21,0,114,297,297,52,2014
BELARUS,,,202,8,33,"43,110",32,"32,090","250,000","120,380","58,000",2014
BELGIUM,,,,,,,,,,,,2014
BOLIVIA,"3,237",700,27,3,12,560,6,"4,578","15,099","5,000",560,2014
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,2014
BRAZIL,,,,,,,,,,,,2014
BULGARIA,"3,591",,8,51,61,0,58,"3,881","27,800",,,2014
CHILE,,,,,,,,,,,,2014
CHINA,"56,472","15,611",219,34,0,"116,885",128,"58,224","372,545",0,0,2014
COLOMBIA,,,,,,,,,,,,2014
COSTA RICA,"2,690","1,100",2,2,12,900,8,"2,690","2,690","3,000","2,000",2014
CROATIA,"10,038","1,995",14,17,119,"3,753",137,"10,503","252,012","400,000",,2014
CUBA,,,,,,,,,,,,2014
CYPRUS,"1,266",317,7,6,27,390,15,"1,355","44,511",0,"15,461",2014
CZECH REPUBLIC,,,,,,,,,,,,2014
DENMARK,"18,748","3,704",14,10,192,"33,111",68,"20,293","850,000","500,000","500,000",2014
DOMINICAN REPUBLIC,665,216,22,0,4,77,11,713,"83,000","1,900,000","350,000",2014
ECUADOR,,,,,,,,,,,,2014
EGYPT,312,40,4,3,0,13,0,602,,,,2014
